doc_id,case_id,scenario_id,split,doc_type,source_type,file_format,relative_path,clean_text_path,quality_profile,style_id,supplier_name,supplier_siret,supplier_vat,customer_name,customer_siret,invoice_number,quote_number,attestation_reference,issue_date,due_date,expiration_date,currency,amount_ht,amount_tva,amount_ttc,iban,bic,is_forged,is_expired,has_cross_doc_inconsistency,source_url,notes
train-00024-invoice,train-00024,forged_identifier_scan,train,invoice,synthetic,png,raw/train/train-00024/train-00024-invoice.png,clean/train/train-00024/train-00024-invoice.txt,pixelated_scan,industrial_orange,CARRIERES MEN ARVOR,00708077300359,FR10007080773,OCEANIC,00678051400045,FAC-202510-0024,,,2025-10-18,2025-11-17,,EUR,4714.18,942.84,5657.02,FR7671462489442694578077660,SPHODUSU,True,False,False,,Identifiant fournisseur potentiellement falsifie.
train-00025-invoice,train-00025,invoice_quote_mismatch,train,invoice,synthetic,pdf,raw/train/train-00025/train-00025-invoice.pdf,clean/train/train-00025/train-00025-invoice.txt,clean_pdf,minimal_gray,LE FIACRE,00732021100035,FR39007320211,ETABLISSEMENTS GUERARD,01638003200058,FAC-202511-0025,,,2025-11-13,2025-12-13,,EUR,15261.39,3052.28,18313.67,FR7692158293362518011364343,IXQMMVMN,False,False,True,,Le devis et la facture n'ont pas le meme montant.
train-00025-quote,train-00025,invoice_quote_mismatch,train,quote,synthetic,pdf,raw/train/train-00025/train-00025-quote.pdf,clean/train/train-00025/train-00025-quote.txt,clean_pdf,minimal_gray,LE FIACRE,00732021100035,FR39007320211,ETABLISSEMENTS GUERARD,01638003200058,,DEV-202511-0025,,2025-11-07,2025-12-07,,EUR,15078.06,3015.61,18093.67,,,False,False,True,,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00026-invoice,train-00026,invoice_quote_mismatch,train,invoice,synthetic,pdf,raw/train/train-00026/train-00026-invoice.pdf,clean/train/train-00026/train-00026-invoice.txt,clean_pdf,sand_gold,JOUONGOUNI,02404083400020,FR07024040834,DOUKA BE KAWENI,02404912400407,FAC-202601-0026,,,2026-01-13,2026-02-12,,EUR,8286.21,1657.24,9943.45,FR7638109609589979503247759,LDPGASAA,False,False,True,,Le devis et la facture n'ont pas le meme montant.
train-00026-quote,train-00026,invoice_quote_mismatch,train,quote,synthetic,pdf,raw/train/train-00026/train-00026-quote.pdf,clean/train/train-00026/train-00026-quote.txt,clean_pdf,sand_gold,JOUONGOUNI,02404083400020,FR07024040834,DOUKA BE KAWENI,02404912400407,,DEV-202601-0026,,2026-01-07,2026-02-06,,EUR,8102.88,1620.57,9723.45,,,False,False,True,,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00027-invoice,train-00027,invoice_quote_mismatch,train,invoice,synthetic,pdf,raw/train/train-00027/train-00027-invoice.pdf,clean/train/train-00027/train-00027-invoice.txt,clean_pdf,sand_gold,ROCHE VILAINE OCEAN,00738004100074,FR79007380041,MAECHA CONSTRUCTION,02404876100035,FAC-202603-0027,,,2026-03-06,2026-04-05,,EUR,14436.42,2887.28,17323.70,FR7647723268246591636061572,KBPHSOVX,False,False,True,,Le devis et la facture n'ont pas le meme montant.
train-00027-quote,train-00027,invoice_quote_mismatch,train,quote,synthetic,pdf,raw/train/train-00027/train-00027-quote.pdf,clean/train/train-00027/train-00027-quote.txt,clean_pdf,sand_gold,ROCHE VILAINE OCEAN,00738004100074,FR79007380041,MAECHA CONSTRUCTION,02404876100035,,DEV-202603-0027,,2026-02-28,2026-03-30,,EUR,14253.08,2850.62,17103.70,,,False,False,True,,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00028-invoice,train-00028,invoice_quote_mismatch,train,invoice,synthetic,pdf,raw/train/train-00028/train-00028-invoice.pdf,clean/train/train-00028/train-00028-invoice.txt,clean_pdf,ocean_teal,SFR,02407217500094,FR37024072175,AUTODISTRIBUTION HERBEMONT,01555088200920,FAC-202508-0028,,,2025-08-15,2025-09-14,,EUR,6991.63,1398.33,8389.96,FR7696712416331967949146638,HZXCDTUL,False,False,True,,Le devis et la facture n'ont pas le meme montant.
train-00028-quote,train-00028,invoice_quote_mismatch,train,quote,synthetic,pdf,raw/train/train-00028/train-00028-quote.pdf,clean/train/train-00028/train-00028-quote.txt,clean_pdf,ocean_teal,SFR,02407217500094,FR37024072175,AUTODISTRIBUTION HERBEMONT,01555088200920,,DEV-202508-0028,,2025-08-09,2025-09-08,,EUR,6808.30,1361.66,8169.96,,,False,False,True,,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00029-invoice,train-00029,expired_attestation,train,invoice,synthetic,pdf,raw/train/train-00029/train-00029-invoice.pdf,clean/train/train-00029/train-00029-invoice.txt,clean_pdf,midnight_navy,SUD CONSTRUCTION,02403701200036,FR84024037012,MPPI,01585179301105,FAC-202507-0029,,,2025-07-20,2025-08-19,,EUR,1996.91,399.38,2396.29,FR7642781820909570737017283,MFAQDYQH,False,True,True,,Attestation hors validite.
train-00029-attestation,train-00029,expired_attestation,train,attestation,synthetic,pdf,raw/train/train-00029/train-00029-attestation.pdf,clean/train/train-00029/train-00029-attestation.txt,clean_pdf,midnight_navy,SUD CONSTRUCTION,02403701200036,FR84024037012,MPPI,01585179301105,,,ATTEST-202507-0029,2025-07-20,,2025-07-12,EUR,0.00,0.00,0.00,,,False,True,True,,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00030-invoice,train-00030,expired_attestation,train,invoice,synthetic,pdf,raw/train/train-00030/train-00030-invoice.pdf,clean/train/train-00030/train-00030-invoice.txt,clean_pdf,heritage_burgundy,DISTRICT DE LEVET,01625002900796,FR33016250029,E.C.E ENTREPRISE CARREAUX ET ENTRETIEN,02407034400023,FAC-202510-0030,,,2025-10-24,2025-11-23,,EUR,9649.03,1929.81,11578.84,FR7680378251765573379658930,AZXJRXHG,False,True,True,,Attestation hors validite.
train-00030-attestation,train-00030,expired_attestation,train,attestation,synthetic,pdf,raw/train/train-00030/train-00030-attestation.pdf,clean/train/train-00030/train-00030-attestation.txt,clean_pdf,heritage_burgundy,DISTRICT DE LEVET,01625002900796,FR33016250029,E.C.E ENTREPRISE CARREAUX ET ENTRETIEN,02407034400023,,,ATTEST-202510-0030,2025-10-24,,2025-10-16,EUR,0.00,0.00,0.00,,,False,True,True,,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00031-invoice,train-00031,expired_attestation,train,invoice,synthetic,pdf,raw/train/train-00031/train-00031-invoice.pdf,clean/train/train-00031/train-00031-invoice.txt,clean_pdf,ocean_teal,OUVOIMOJA PAPA,02406033700029,FR25024060337,MAYOTTE HYGIENE EXPRESS,02405355500041,FAC-202511-0031,,,2025-11-07,2025-12-07,,EUR,6617.53,1323.51,7941.04,FR7659100765551073978677521,UVGBDCER,False,True,True,,Attestation hors validite.
train-00031-attestation,train-00031,expired_attestation,train,attestation,synthetic,pdf,raw/train/train-00031/train-00031-attestation.pdf,clean/train/train-00031/train-00031-attestation.txt,clean_pdf,ocean_teal,OUVOIMOJA PAPA,02406033700029,FR25024060337,MAYOTTE HYGIENE EXPRESS,02405355500041,,,ATTEST-202511-0031,2025-11-07,,2025-10-30,EUR,0.00,0.00,0.00,,,False,True,True,,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00032-invoice,train-00032,expired_attestation,train,invoice,synthetic,pdf,raw/train/train-00032/train-00032-invoice.pdf,clean/train/train-00032/train-00032-invoice.txt,clean_pdf,sand_gold,LAUDIS,02404345700027,FR19024043457,HOTEL RESTAURANT LE PROVENCE,00734156300034,FAC-202509-0032,,,2025-09-25,2025-10-25,,EUR,12596.97,2519.39,15116.36,FR7610115114065429453603809,BDWDPCVX,False,True,True,,Attestation hors validite.
train-00032-attestation,train-00032,expired_attestation,train,attestation,synthetic,pdf,raw/train/train-00032/train-00032-attestation.pdf,clean/train/train-00032/train-00032-attestation.txt,clean_pdf,sand_gold,LAUDIS,02404345700027,FR19024043457,HOTEL RESTAURANT LE PROVENCE,00734156300034,,,ATTEST-202509-0032,2025-09-25,,2025-09-17,EUR,0.00,0.00,0.00,,,False,True,True,,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00033-invoice,train-00033,attestation_siret_mismatch,train,invoice,synthetic,png,raw/train/train-00033/train-00033-invoice.png,clean/train/train-00033/train-00033-invoice.txt,scan_blur_rotation,civic_red,MANONGA LAZA,02406934600013,FR86024069346,SNC MCBTP,02406684700013,FAC-202508-0033,,,2025-08-08,2025-09-07,,EUR,8613.78,1722.76,10336.54,FR7635106652963625022447277,DDQSDZZR,False,False,True,,
train-00033-attestation,train-00033,attestation_siret_mismatch,train,attestation,synthetic,png,raw/train/train-00033/train-00033-attestation.png,clean/train/train-00033/train-00033-attestation.txt,scan_blur_rotation,civic_red,MANONGA LAZA,02403660000021,FR12024036600,SNC MCBTP,02406684700013,,,ATTEST-202508-0033,2025-08-08,,2025-12-06,EUR,0.00,0.00,0.00,,,False,False,True,,Document de conformite pour verification fournisseur.
train-00034-invoice,train-00034,attestation_siret_mismatch,train,invoice,synthetic,png,raw/train/train-00034/train-00034-invoice.png,clean/train/train-00034/train-00034-invoice.txt,scan_blur_rotation,minimal_gray,VANNERIE DU BOISLE,00722033800037,FR53007220338,JUSTE A COTE,02405478500027,FAC-202601-0034,,,2026-01-26,2026-02-25,,EUR,5237.29,1047.46,6284.75,FR7654137231195911121495288,QYIIHXNP,False,False,True,,
train-00034-attestation,train-00034,attestation_siret_mismatch,train,attestation,synthetic,png,raw/train/train-00034/train-00034-attestation.png,clean/train/train-00034/train-00034-attestation.txt,scan_blur_rotation,minimal_gray,VANNERIE DU BOISLE,01585179301113,FR74015851793,JUSTE A COTE,02405478500027,,,ATTEST-202601-0034,2026-01-26,,2026-05-26,EUR,0.00,0.00,0.00,,,False,False,True,,Document de conformite pour verification fournisseur.
train-00035-invoice,train-00035,attestation_siret_mismatch,train,invoice,synthetic,png,raw/train/train-00035/train-00035-invoice.png,clean/train/train-00035/train-00035-invoice.txt,scan_blur_rotation,corporate_blue,SUPER U,00728037300015,FR29007280373,GOLF CLUB LA BAULE,00578096000083,FAC-202509-0035,,,2025-09-30,2025-10-30,,EUR,2246.04,449.21,2695.25,FR7632870081783757374104185,VLAFLFAG,False,False,True,,
train-00035-attestation,train-00035,attestation_siret_mismatch,train,attestation,synthetic,png,raw/train/train-00035/train-00035-attestation.png,clean/train/train-00035/train-00035-attestation.txt,scan_blur_rotation,corporate_blue,SUPER U,01585179300875,FR74015851793,GOLF CLUB LA BAULE,00578096000083,,,ATTEST-202509-0035,2025-09-30,,2026-01-28,EUR,0.00,0.00,0.00,,,False,False,True,,Document de conformite pour verification fournisseur.
train-00036-invoice,train-00036,attestation_siret_mismatch,train,invoice,synthetic,png,raw/train/train-00036/train-00036-invoice.png,clean/train/train-00036/train-00036-invoice.txt,scan_blur_rotation,sand_gold,SIPA,01585028200029,FR03015850282,ENTREPRISE GOULAMHOUSSEN FIDAHOUSSEN,02405498300010,FAC-202508-0036,,,2025-08-02,2025-09-01,,EUR,8996.57,1799.31,10795.88,FR7603632211347579151797549,HEZHUZTA,False,False,True,,
train-00036-attestation,train-00036,attestation_siret_mismatch,train,attestation,synthetic,png,raw/train/train-00036/train-00036-attestation.png,clean/train/train-00036/train-00036-attestation.txt,scan_blur_rotation,sand_gold,SIPA,01675055600041,FR54016750556,ENTREPRISE GOULAMHOUSSEN FIDAHOUSSEN,02405498300010,,,ATTEST-202508-0036,2025-08-02,,2025-11-30,EUR,0.00,0.00,0.00,,,False,False,True,,Document de conformite pour verification fournisseur.
train-00037-invoice,train-00037,rib_mismatch,train,invoice,synthetic,pdf,raw/train/train-00037/train-00037-invoice.pdf,clean/train/train-00037/train-00037-invoice.txt,clean_pdf,sand_gold,COMPTA SERVICE,01715120000676,FR59017151200,MPPI,01585179301113,FAC-202512-0037,,,2025-12-16,2026-01-15,,EUR,7095.14,1419.03,8514.17,FR7619825323282153789914679,JIRDJWWT,False,False,True,,
train-00037-rib,train-00037,rib_mismatch,train,rib,synthetic,pdf,raw/train/train-00037/train-00037-rib.pdf,clean/train/train-00037/train-00037-rib.txt,clean_pdf,sand_gold,DORAS,01715120000676,FR59017151200,MPPI,01585179301113,,,,2025-12-16,,,EUR,0.00,0.00,0.00,FR7619825323282153789914679,JIRDJWWT,False,False,True,,Coordonnees bancaires fournisseur.
train-00038-invoice,train-00038,rib_mismatch,train,invoice,synthetic,pdf,raw/train/train-00038/train-00038-invoice.pdf,clean/train/train-00038/train-00038-invoice.txt,clean_pdf,corporate_blue,SNC MCBTP,02406684700013,FR58024066847,MARTIN CARRELAGE,01585179300974,FAC-202601-0038,,,2026-01-09,2026-02-08,,EUR,10799.74,2159.95,12959.69,FR7699564727554129036630218,ZSSQTGRN,False,False,True,,
train-00038-rib,train-00038,rib_mismatch,train,rib,synthetic,pdf,raw/train/train-00038/train-00038-rib.pdf,clean/train/train-00038/train-00038-rib.txt,clean_pdf,corporate_blue,TAXI BARAKA,02406684700013,FR58024066847,MARTIN CARRELAGE,01585179300974,,,,2026-01-09,,,EUR,0.00,0.00,0.00,FR7699564727554129036630218,ZSSQTGRN,False,False,True,,Coordonnees bancaires fournisseur.
train-00039-invoice,train-00039,rib_mismatch,train,invoice,synthetic,pdf,raw/train/train-00039/train-00039-invoice.pdf,clean/train/train-00039/train-00039-invoice.txt,clean_pdf,tech_slate,CHARMY - DOMAINE DE CHARMY - COMTE GAETAN DE CHARMY,01625008600077,FR10016250086,PASSIONNEMENT GLAMOUR,00545009300033,FAC-202601-0039,,,2026-01-23,2026-02-22,,EUR,4115.74,823.15,4938.89,FR7653441026164135707581170,SGZWTWND,False,False,True,,
train-00039-rib,train-00039,rib_mismatch,train,rib,synthetic,pdf,raw/train/train-00039/train-00039-rib.pdf,clean/train/train-00039/train-00039-rib.txt,clean_pdf,tech_slate,PACOTTE ET MIGNOTTE,01625008600077,FR10016250086,PASSIONNEMENT GLAMOUR,00545009300033,,,,2026-01-23,,,EUR,0.00,0.00,0.00,FR7653441026164135707581170,SGZWTWND,False,False,True,,Coordonnees bancaires fournisseur.
train-00040-invoice,train-00040,missing_field_scan,train,invoice,synthetic,png,raw/train/train-00040/train-00040-invoice.png,clean/train/train-00040/train-00040-invoice.txt,low_contrast_scan,sand_gold,MAYOTTE PIECES AUTO,02406911400023,FR69024069114,HOTEL ROYAL THALASSO,00578096000026,FAC-202509-0040,,,2025-09-17,,,EUR,7446.48,1489.30,8935.78,FR7674848332978697198048288,GFCJEARU,False,False,False,,La date d'echeance est absente du document.
train-00041-invoice,train-00041,missing_field_scan,train,invoice,synthetic,png,raw/train/train-00041/train-00041-invoice.png,clean/train/train-00041/train-00041-invoice.txt,low_contrast_scan,civic_red,DEMENAGEMENTS D. FRANTZ,01565100300046,FR74015651003,ENTREPRISE MOUSSA MCOLO ABACHIA,02405814100011,FAC-202508-0041,,,2025-08-21,,,EUR,553.73,110.75,664.48,FR7670173645024796137633502,QDNZJFHO,False,False,False,,La date d'echeance est absente du document.
train-00042-invoice,train-00042,missing_field_scan,train,invoice,synthetic,png,raw/train/train-00042/train-00042-invoice.png,clean/train/train-00042/train-00042-invoice.txt,low_contrast_scan,civic_red,DOUKA BE,02404912400282,FR45024049124,COOPERATIVE MARITIME,00708001300027,FAC-202510-0042,,,2025-10-01,,,EUR,11858.92,2371.78,14230.70,FR7669621341547980535980786,GHYIBKOA,False,False,False,,La date d'echeance est absente du document.
validation-00043-invoice,validation-00043,legitimate_pdf,validation,invoice,synthetic,pdf,raw/validation/validation-00043/validation-00043-invoice.pdf,clean/validation/validation-00043/validation-00043-invoice.txt,clean_pdf,sand_gold,DISTRICT DE MONTARGIS,01625002901000,FR33016250029,MENEO,01585179301006,FAC-202602-0043,,,2026-02-01,2026-03-03,,EUR,6467.19,1293.44,7760.63,FR7600068324451320353416228,FAUAWFPB,False,False,False,,
validation-00044-invoice,validation-00044,legitimate_pdf,validation,invoice,synthetic,pdf,raw/validation/validation-00044/validation-00044-invoice.pdf,clean/validation/validation-00044/validation-00044-invoice.txt,clean_pdf,sand_gold,TRANSMECA,02405811700037,FR58024058117,SFR,02407217500128,FAC-202508-0044,,,2025-08-11,2025-09-10,,EUR,9756.86,1951.37,11708.23,FR7664135502193606096765508,XZRJVTVQ,False,False,False,,
validation-00045-invoice,validation-00045,legitimate_scan,validation,invoice,synthetic,png,raw/validation/validation-00045/validation-00045-invoice.png,clean/validation/validation-00045/validation-00045-invoice.txt,scan_blur_rotation,sand_gold,MPPI,01585179300982,FR74015851793,E.E.C.F,02405193000030,FAC-202511-0045,,,2025-11-12,2025-12-12,,EUR,7594.03,1518.81,9112.84,FR7656068475661014288084561,YHPTOJBH,False,False,False,,
validation-00046-invoice,validation-00046,legitimate_scan,validation,invoice,synthetic,png,raw/validation/validation-00046/validation-00046-invoice.png,clean/validation/validation-00046/validation-00046-invoice.txt,scan_blur_rotation,compliance_green,DOUKA BE ACOUA,02404912400209,FR45024049124,FREDERIC MUGNIER,01555145000065,FAC-202602-0046,,,2026-02-04,2026-03-06,,EUR,8698.95,1739.79,10438.74,FR7647088719331938420594203,IQOIKGFN,False,False,False,,
